11316342009401551006703358116629774928384021,1831^1;2287^1;33107^1;65983^1;439289^1;2816108224150184286377^1
11797772983970451556055395619893284756991099,677^1;160781^1;108386861521144260553573493644609627^1
12826954844485214671965422127337218154485817,73613^1;93047^1;1872693372059098594523904917644747^1
11923870867526548393543157197475368192324253,139^1;7416823^1;11566036246418464122394266781272449^1
11713703555561035135961027242272373175502799,8093^1;137993^1;10488844142523018825985364108842051^1
11530593001234800411921132144643516036597013,577^1;30369377^1;658021292608200511106352676113397^1
12850896111698840472042012133019233256477423,151^1;179^1;475448448396124180400385220800593187187^1
11790428346265840583865602058950085154805827,2801^1;95957^1;949381^1;46206096079782974891103462331^1
11179149394623257219587568505693593936803481,16913213^1;25854593^1;25564949321231822668323575309^1
12544858861706922163188433098232939598351749,4663^1;6329^1;3820111^1;111272869089309167079073647317^1
11744934107398308745811018147779368490837117,307^1;129629^1;137443^1;4001617^1;536601513073935438794969^1
11541285379673674591760050696030708885439459,1559^1;27691^1;267343374202131438925248547699128511^1
11587808251380743111219001621125840631443891,17431^1;28435417^1;23378648198779341742096022806733^1
12469286130343753262080346437095093319525721,149^1;168391^1;496977178686906072276111077095501219^1
11249942307810767785388653728288121478565821,1759^1;3187^1;2208847^1;908524739217256150869999279071^1
12298149636997109166601176628396761904837717,389^1;953^1;33173956513990750806143707001288751001^1
12416648489126755055750029075237597460382503,1759^1;13241^1;533111144696641427319807736020961537^1
12059434567665251347526058053828547460738933,269^1;11867^1;47533^1;79476456907818012020095211648887^1
11868084345164709725229836244041274428384587,4013^1;21013^1;140741898129664106872170469578795323^1
11450954328300328515935198178877147007272093,631^1;1237^1;14670422573272754255586400535620721119^1
11765094297403323622469297867596006484954783,211^1;859^1;64911223220008516584749697198859063967^1
12797869772172184113653469775565099971136599,7907^1;50263^1;161873^1;2652751217^1;74990561147381040779^1
12595569104564794317798990697731694837411747,137^1;35281^1;93463^1;1803421^1;15460356427823710447740737^1
11319063554552390029988298644620188040145819,317^1;54394913^1;656436845357675360964708651508439^1
12740863577461476881684448631579618820164621,181^1;46439^1;1515784394101675694531904638590185119^1
11269267971522694889216247367388301407342623,97687^1;42849229^1;2692253323000828419040938899101^1
12268204090869795451708202610266316950074891,121171^1;7585789^1;13346934881159459077182923936989^1
11422804638028442474354550714919839222017773,197^1;239^1;857^1;1303^1;217261805574193260973090512413561^1
11984371108096522213187138335380214337488429,30983^1;47791^1;1097143^1;7377044909887258067378087651^1
12799628832496436952351145393459813898402179,223^1;499^1;115024927276044797688211808311329510127^1
